INFO 07-24 03:19:37 [__init__.py:244] Automatically detected platform cuda.
Finished loading data
Computing base log probabilities...
Processing attribute 1/20: p=0.2963
Processing attribute 2/20: p=0.0572
Processing attribute 3/20: p=0.1319
Processing attribute 4/20: p=0.1326
Processing attribute 5/20: p=0.1980
Processing attribute 6/20: p=0.1940
Processing attribute 7/20: p=0.1172
Processing attribute 8/20: p=0.0582
Processing attribute 9/20: p=0.1534
Processing attribute 10/20: p=0.0748
Processing attribute 11/20: p=0.2776
Processing attribute 12/20: p=0.0265
Processing attribute 13/20: p=0.2923
Processing attribute 14/20: p=0.2347
Processing attribute 15/20: p=0.3184
Processing attribute 16/20: p=0.2653
Processing attribute 17/20: p=0.3967
Processing attribute 18/20: p=0.2837
Processing attribute 19/20: p=0.3102
Processing attribute 20/20: p=0.1632
Accuracy: 0.8480 (424/500)
Accuracy: 0.8480 (424/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2720
Processing attribute 2/20: p=0.1569
Processing attribute 3/20: p=0.1907
Processing attribute 4/20: p=0.2008
Processing attribute 5/20: p=0.2251
Processing attribute 6/20: p=0.2285
Processing attribute 7/20: p=0.1588
Processing attribute 8/20: p=0.1543
Processing attribute 9/20: p=0.2081
Processing attribute 10/20: p=0.1196
Processing attribute 11/20: p=0.2595
Processing attribute 12/20: p=0.1059
Processing attribute 13/20: p=0.2958
Processing attribute 14/20: p=0.2324
Processing attribute 15/20: p=0.2767
Processing attribute 16/20: p=0.2226
Processing attribute 17/20: p=0.3072
Processing attribute 18/20: p=0.3062
Processing attribute 19/20: p=0.2163
Processing attribute 20/20: p=0.1848
Accuracy: 0.8420 (421/500)
Accuracy: 0.8420 (421/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2529
Processing attribute 2/20: p=0.1797
Processing attribute 3/20: p=0.2062
Processing attribute 4/20: p=0.2213
Processing attribute 5/20: p=0.2077
Processing attribute 6/20: p=0.2335
Processing attribute 7/20: p=0.1814
Processing attribute 8/20: p=0.1707
Processing attribute 9/20: p=0.2327
Processing attribute 10/20: p=0.1516
Processing attribute 11/20: p=0.2571
Processing attribute 12/20: p=0.1314
Processing attribute 13/20: p=0.2583
Processing attribute 14/20: p=0.2202
Processing attribute 15/20: p=0.2705
Processing attribute 16/20: p=0.2200
Processing attribute 17/20: p=0.2980
Processing attribute 18/20: p=0.2814
Processing attribute 19/20: p=0.2239
Processing attribute 20/20: p=0.1925
Accuracy: 0.8400 (420/500)
Accuracy: 0.8400 (420/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2548
Processing attribute 2/20: p=0.1733
Processing attribute 3/20: p=0.2054
Processing attribute 4/20: p=0.2146
Processing attribute 5/20: p=0.1967
Processing attribute 6/20: p=0.2350
Processing attribute 7/20: p=0.1838
Processing attribute 8/20: p=0.1589
Processing attribute 9/20: p=0.2381
Processing attribute 10/20: p=0.1535
Processing attribute 11/20: p=0.2552
Processing attribute 12/20: p=0.1267
Processing attribute 13/20: p=0.2556
Processing attribute 14/20: p=0.2127
Processing attribute 15/20: p=0.2757
Processing attribute 16/20: p=0.2263
Processing attribute 17/20: p=0.3042
Processing attribute 18/20: p=0.2873
Processing attribute 19/20: p=0.2273
Processing attribute 20/20: p=0.1947
Accuracy: 0.8420 (421/500)
Accuracy: 0.8420 (421/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2523
Processing attribute 2/20: p=0.1703
Processing attribute 3/20: p=0.2006
Processing attribute 4/20: p=0.2250
Processing attribute 5/20: p=0.1967
Processing attribute 6/20: p=0.2249
Processing attribute 7/20: p=0.1847
Processing attribute 8/20: p=0.1646
Processing attribute 9/20: p=0.2432
Processing attribute 10/20: p=0.1624
Processing attribute 11/20: p=0.2520
Processing attribute 12/20: p=0.1358
Processing attribute 13/20: p=0.2602
Processing attribute 14/20: p=0.2063
Processing attribute 15/20: p=0.2647
Processing attribute 16/20: p=0.2258
Processing attribute 17/20: p=0.3111
Processing attribute 18/20: p=0.2770
Processing attribute 19/20: p=0.2303
Processing attribute 20/20: p=0.2017
Accuracy: 0.8440 (422/500)
Accuracy: 0.8440 (422/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2530
Processing attribute 2/20: p=0.1664
Processing attribute 3/20: p=0.1997
Processing attribute 4/20: p=0.2244
Processing attribute 5/20: p=0.1874
Processing attribute 6/20: p=0.2239
Processing attribute 7/20: p=0.1848
Processing attribute 8/20: p=0.1577
Processing attribute 9/20: p=0.2453
Processing attribute 10/20: p=0.1516
Processing attribute 11/20: p=0.2563
Processing attribute 12/20: p=0.1241
Processing attribute 13/20: p=0.2622
Processing attribute 14/20: p=0.2019
Processing attribute 15/20: p=0.2736
Processing attribute 16/20: p=0.2278
Processing attribute 17/20: p=0.3167
Processing attribute 18/20: p=0.2805
Processing attribute 19/20: p=0.2436
Processing attribute 20/20: p=0.1871
Accuracy: 0.8440 (422/500)
Accuracy: 0.8440 (422/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2550
Processing attribute 2/20: p=0.1588
Processing attribute 3/20: p=0.1999
Processing attribute 4/20: p=0.2211
Processing attribute 5/20: p=0.1825
Processing attribute 6/20: p=0.2248
Processing attribute 7/20: p=0.1859
Processing attribute 8/20: p=0.1548
Processing attribute 9/20: p=0.2400
Processing attribute 10/20: p=0.1495
Processing attribute 11/20: p=0.2567
Processing attribute 12/20: p=0.1221
Processing attribute 13/20: p=0.2602
Processing attribute 14/20: p=0.2005
Processing attribute 15/20: p=0.2767
Processing attribute 16/20: p=0.2296
Processing attribute 17/20: p=0.3248
Processing attribute 18/20: p=0.2836
Processing attribute 19/20: p=0.2474
Processing attribute 20/20: p=0.1829
Accuracy: 0.8440 (422/500)
Accuracy: 0.8440 (422/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2542
Processing attribute 2/20: p=0.1633
Processing attribute 3/20: p=0.2004
Processing attribute 4/20: p=0.2218
Processing attribute 5/20: p=0.1815
Processing attribute 6/20: p=0.2264
Processing attribute 7/20: p=0.1873
Processing attribute 8/20: p=0.1526
Processing attribute 9/20: p=0.2338
Processing attribute 10/20: p=0.1527
Processing attribute 11/20: p=0.2560
Processing attribute 12/20: p=0.1268
Processing attribute 13/20: p=0.2585
Processing attribute 14/20: p=0.2046
Processing attribute 15/20: p=0.2765
Processing attribute 16/20: p=0.2307
Processing attribute 17/20: p=0.3212
Processing attribute 18/20: p=0.2830
Processing attribute 19/20: p=0.2496
Processing attribute 20/20: p=0.1822
Accuracy: 0.8440 (422/500)
Accuracy: 0.8440 (422/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2550
Processing attribute 2/20: p=0.1656
Processing attribute 3/20: p=0.1979
Processing attribute 4/20: p=0.2198
Processing attribute 5/20: p=0.1833
Processing attribute 6/20: p=0.2254
Processing attribute 7/20: p=0.1836
Processing attribute 8/20: p=0.1562
Processing attribute 9/20: p=0.2347
Processing attribute 10/20: p=0.1584
Processing attribute 11/20: p=0.2539
Processing attribute 12/20: p=0.1290
Processing attribute 13/20: p=0.2581
Processing attribute 14/20: p=0.2024
Processing attribute 15/20: p=0.2731
Processing attribute 16/20: p=0.2309
Processing attribute 17/20: p=0.3235
Processing attribute 18/20: p=0.2822
Processing attribute 19/20: p=0.2473
Processing attribute 20/20: p=0.1882
Accuracy: 0.8440 (422/500)
Accuracy: 0.8440 (422/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2558
Processing attribute 2/20: p=0.1599
Processing attribute 3/20: p=0.1977
Processing attribute 4/20: p=0.2133
Processing attribute 5/20: p=0.1789
Processing attribute 6/20: p=0.2242
Processing attribute 7/20: p=0.1873
Processing attribute 8/20: p=0.1491
Processing attribute 9/20: p=0.2322
Processing attribute 10/20: p=0.1574
Processing attribute 11/20: p=0.2549
Processing attribute 12/20: p=0.1279
Processing attribute 13/20: p=0.2570
Processing attribute 14/20: p=0.2007
Processing attribute 15/20: p=0.2780
Processing attribute 16/20: p=0.2338
Processing attribute 17/20: p=0.3280
Processing attribute 18/20: p=0.2867
Processing attribute 19/20: p=0.2490
Processing attribute 20/20: p=0.1863
Accuracy: 0.8440 (422/500)
Accuracy: 0.8440 (422/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2545
Processing attribute 2/20: p=0.1547
Processing attribute 3/20: p=0.2021
Processing attribute 4/20: p=0.2109
Processing attribute 5/20: p=0.1791
Processing attribute 6/20: p=0.2279
Processing attribute 7/20: p=0.1833
Processing attribute 8/20: p=0.1452
Processing attribute 9/20: p=0.2264
Processing attribute 10/20: p=0.1579
Processing attribute 11/20: p=0.2583
Processing attribute 12/20: p=0.1256
Processing attribute 13/20: p=0.2541
Processing attribute 14/20: p=0.1990
Processing attribute 15/20: p=0.2845
Processing attribute 16/20: p=0.2302
Processing attribute 17/20: p=0.3282
Processing attribute 18/20: p=0.2893
Processing attribute 19/20: p=0.2536
Processing attribute 20/20: p=0.1864
Accuracy: 0.8440 (422/500)
Accuracy: 0.8440 (422/500)
Results saved to ../results/persona_results.jsonl
Computing base log probabilities...
Processing attribute 1/20: p=0.2578
Processing attribute 2/20: p=0.1462
Processing attribute 3/20: p=0.1996
