user,num_features,l1_lambda,num_attributes,accuracy,non_zero_components,sparsity_ratio,p_norm,success,error,top_weight_1,top_weight_2,top_weight_3,top_weight_4,top_weight_5,top_attr_1,top_attr_2,top_attr_3,top_attr_4,top_attr_5
user11,5,0.01,5,0.8,5,1.0,4.673457440810047,True,,3.0830671749201732,2.415145107771036,2.307816462282878,1.0719959147759826,0.16668320107891418,An Australian who is a huge fan of Marc Polmans,A YouTuber who reviews AAA games and sees indie ga...,A close friend who enjoys playing multiplayer Digi...,"An investor with a background in IT security, who ...",An author whose book she edited and formed a close...
user11,23,0.01,23,0.68,23,1.0,5.6179335965010475,True,,2.2022270587347714,1.7701737910450033,1.6593215042328529,1.6583811262837167,1.4390168279123414,An experienced organic farmer sharing tips and adv...,A K-pop fan who knows all the trivia about the mus...,An Australian who is a huge fan of Marc Polmans,A biochemist studying the role of quantum coherenc...,An environmental engineer focusing on urban planni...
user11,194,0.01,194,0.74,192,0.9896907216494846,5.591125806950109,True,,0.913169657933085,0.7659881615412526,0.6972459529169055,0.6917236492509808,0.6783865565087056,A young architecture student fascinated by the pos...,A shy yet talented fantasy writer who's waiting fo...,A small-scale chocolatier who collaborates with th...,An adult who was adopted from a foreign country an...,An experienced organic farmer sharing tips and adv...
user12,5,0.01,5,0.82,5,1.0,4.348468211096867,True,,2.810870201351228,2.353161110004264,2.2655501927566917,0.4279554672544216,0.39364162201977576,An Australian who is a huge fan of Marc Polmans,A close friend who enjoys playing multiplayer Digi...,A YouTuber who reviews AAA games and sees indie ga...,"An investor with a background in IT security, who ...",An author whose book she edited and formed a close...
user12,23,0.01,23,0.78,23,1.0,4.641747504645147,True,,1.9853390615492736,1.9841787431458655,1.6131393872665383,1.180416547759136,1.1764748612029163,A K-pop fan who knows all the trivia about the mus...,An Australian who is a huge fan of Marc Polmans,A YouTuber who reviews AAA games and sees indie ga...,An experienced organic farmer sharing tips and adv...,a proud descendant of the shipbuilder of the John ...
user12,194,0.01,194,0.78,192,0.9896907216494846,5.089742417877097,True,,0.9105724610245954,0.9044954816495456,0.8884818168772954,0.7855451113125143,0.7626185708700687,A retired captain who taught them the ropes and no...,An elementary school teacher in Wales who doesn't ...,A stand-up comedian who enjoys sharing wit and hum...,a deeply empathetic mother who has a daughter of t...,an exchange student from Japan who can speak Portu...
user13,5,0.01,5,0.66,5,1.0,4.849369288464332,True,,3.4291131998641906,2.8861871154703276,1.3328841909510112,1.2460964695323182,0.3132928582704432,An Australian who is a huge fan of Marc Polmans,A close friend who enjoys playing multiplayer Digi...,"An investor with a background in IT security, who ...",A YouTuber who reviews AAA games and sees indie ga...,An author whose book she edited and formed a close...
user13,23,0.01,23,0.72,23,1.0,5.208275383790606,True,,1.9770610600399756,1.6055569230463205,1.5961776220850499,1.44031189854557,1.437910444251791,An experienced organic farmer sharing tips and adv...,I am an African entrepreneur who has also establis...,A nature enthusiast from another country seeking t...,An environmental engineer focusing on urban planni...,An Australian who is a huge fan of Marc Polmans
user13,194,0.01,194,0.72,193,0.9948453608247423,5.244662608943419,True,,0.798475346737071,0.7565303398574512,0.7157965061251568,0.6957449168872183,0.6928105177725654,A plant-based diet advocate who can provide expert...,A spiritual retreat leader,A young architecture student fascinated by the pos...,A fitness enthusiast sibling who provides valuable...,An experienced organic farmer sharing tips and adv...
user14,5,0.01,5,0.58,5,1.0,5.772372703745744,True,,3.8301355586289105,2.9984043670540457,2.4983797873978,1.5072475960226195,1.0706178624106468,An Australian who is a huge fan of Marc Polmans,A close friend who enjoys playing multiplayer Digi...,A YouTuber who reviews AAA games and sees indie ga...,"An investor with a background in IT security, who ...",An author whose book she edited and formed a close...
user14,23,0.01,23,0.62,23,1.0,6.273143614791806,True,,2.011622504738832,1.9381971759811771,1.6481316427633432,1.6434858265715282,1.6206950995400624,A former psychologist who explores the psychologic...,An established novelist who takes inspiration from...,An Australian who is a huge fan of Marc Polmans,A theology student who is skeptical of the divisio...,An avid book collector also runs a bookstore mainl...
user14,194,0.01,194,0.64,194,1.0,6.4839304426040805,True,,0.9751525745009618,0.8303702974938434,0.7657083213287232,0.7456952869380983,0.7331427277391143,A spiritual retreat leader,A radio host with a different style and perspectiv...,A film production manager frequently looking for u...,A shy yet talented fantasy writer who's waiting fo...,A young architecture student fascinated by the pos...
user15,5,0.01,5,0.78,5,1.0,4.950538551623844,True,,3.320464355342987,2.8074319994205297,2.262091188508492,0.5551114073517329,0.41888991983629587,An Australian who is a huge fan of Marc Polmans,A close friend who enjoys playing multiplayer Digi...,A YouTuber who reviews AAA games and sees indie ga...,"An investor with a background in IT security, who ...",An author whose book she edited and formed a close...
user15,23,0.01,23,0.66,23,1.0,5.1674994657780084,True,,1.9317432785852002,1.7737907634366759,1.7289684993769487,1.4817249456897992,1.4436370693678147,a proud descendant of the shipbuilder of the John ...,An Australian who is a huge fan of Marc Polmans,A K-pop fan who knows all the trivia about the mus...,An avid book collector also runs a bookstore mainl...,A theology student who is skeptical of the divisio...
user15,194,0.01,194,0.66,192,0.9896907216494846,5.160832753208556,True,,0.7961802141863955,0.7586956815857154,0.7263966901903363,0.6970735178960866,0.6847366821435049,A complete beginner-Level Gridiron football enthus...,"I am an avid gamer and fan of visual novels, parti...",A film theorist exploring the cultural and societa...,A spiritual retreat leader,A young architecture student fascinated by the pos...
