user,selection_type,num_attributes,test_id,l1_lambda,actual_attributes,accuracy,non_zero_components,sparsity_ratio,p_norm,success,error,top_weight_1,top_weight_2,top_weight_3,top_weight_4,top_weight_5,top_attr_1,top_attr_2,top_attr_3,top_attr_4,top_attr_5
user11,random,5,1,0.01,5,0.66,5,1.0,5.604202654201739,True,,3.431171130279548,3.0477144606845648,2.3673047025240987,2.101861622874327,0.5688890875448047,A middle-aged woman who enjoys reading romance nov...,A gifted musician passionate about music compositi...,An animal nutrition specialist working at the loca...,A University of Wisconsin System administrator who...,A bank executive committed to integrating environm...
user11,random,23,1,0.01,23,0.7,23,1.0,5.913899783923945,True,,2.036942446026779,1.9922783841607465,1.6006861998791135,1.583600528445542,1.5430544787148406,A community of students and professionals who shar...,A small-scale chocolatier who collaborates with th...,A younger sibling who enjoys playing and bonding w...,A meticulous buyer who leaves detailed product rev...,a strong atheist and science enthusiast who does n...
user11,random,194,1,0.01,194,0.7,194,1.0,5.569857639390832,True,,0.734898270046272,0.7324458131862622,0.7235401757891619,0.689097529328676,0.688500162161362,A traditional fisherman who is curious about the b...,A materials engineer inventing new materials with ...,A community of students and professionals who shar...,An experienced organic farmer sharing tips and adv...,a friend of Karin Haydu who has known her since co...
user12,random,5,1,0.01,5,0.76,5,1.0,5.0727618245056,True,,4.482915119055972,1.847664607347787,1.3176044352945138,-0.622229781242556,0.31506937915667377,An experienced organic farmer sharing tips and adv...,A prominent political figure who shares personal e...,A city council member advocating for supporting lo...,A public relations specialist focusing on establis...,A historian with a specific interest in the correl...
user12,random,23,1,0.01,23,0.8,23,1.0,4.950197107226401,True,,1.8633969640343635,1.712687512127538,1.5626180131872451,1.411257623314691,1.234508099438587,a parent who stammers during public speaking,"A former star of the film producer's movies, remin...",A British retiree who loves watching planes,an Indian student who did not enjoy his economics ...,"a former band member and friend of Kenny James, wh..."
user12,random,194,1,0.01,194,0.8,193,0.9948453608247423,5.08224590256596,True,,0.7423879966498358,0.7150564552698802,0.706117098999056,0.7010676908344297,0.6891037531746779,a deeply empathetic mother who has a daughter of t...,An avid soccer fan who tries to understand and app...,a GAA community coach originally from Gneeveguilla...,A native New Yorker who feels nostalgic about the ...,An aeronautic engineer who isn't really financiall...
user13,random,5,1,0.01,5,0.6,5,1.0,4.6780248513578115,True,,2.747104960323895,2.277839150601716,2.232493607385053,1.9276497289327699,0.670013780754894,A homeowner concerned about the rising crime rates...,A local school teacher who appreciates the nurse's...,A young aspiring singer-songwriter who looks up to...,an Italian historian specializing in Italy's polit...,A Bayelsa State government representative who prov...
user13,random,23,1,0.01,23,0.68,23,1.0,5.261750840780162,True,,1.8835181592026287,1.8512868945019194,1.7288890454426629,1.7121970202969141,1.4792069458054933,A fellow apprentice who shares the same passion fo...,a student attending the Faculty of Agricultural an...,A lifetime fan of Sloane Stephens',Another teenager with strong opinions on technolog...,A seasoned blues musician who shares the history a...
user13,random,194,1,0.01,194,0.72,194,1.0,5.211880401272736,True,,0.7730847941285005,0.7434579676899467,0.6981532382453405,0.6560689529033263,0.6120105992428876,A nutritionist who provides scientific insights on...,A shell scripting and bioinformatics expert,"An interested layperson with no legal background, ...",A small-scale maltster providing locally sourced s...,A fellow apprentice who shares the same passion fo...
user14,random,5,1,0.01,5,0.56,5,1.0,6.4050696913607155,True,,4.400421972630522,2.5480738529216485,2.3959026217228465,2.1727218948654925,2.169666805947144,Another doctoral candidate specializing in Postcol...,An acclaimed author who has dedicated their life t...,A software engineer who develops the imaging algor...,A Nigerian police sergeant who has worked under co...,A lucha libre wrestler from Mexico who greatly adm...
user14,random,23,1,0.01,23,0.72,23,1.0,6.503212666609283,True,,2.13425020062873,2.0788715908693387,2.038477611063727,1.9149052208805546,1.8799404610434896,A digital content creator who prioritizes making t...,A software engineer actively participating in foru...,A young football player recovering from a concussi...,A pickle lover who hates chocolate,A traditional fisherman who is curious about the b...
user14,random,194,1,0.01,194,0.7,194,1.0,6.586131064460018,True,,0.8916438797457205,0.8866328212343889,0.8282618197043975,0.7767209265836527,0.7697714766978287,A history professor who provides insights into the...,A college student exploring different meditation t...,A radio host with a different style and perspectiv...,An inflexible English grammarian,A shell scripting and bioinformatics expert
user15,random,5,1,0.01,5,0.72,4,0.8,5.091555576258607,True,,3.957226640020563,2.79140970447402,1.4234305521035744,0.6679616985636606,0.0,An aeronautic engineer who isn't really financiall...,A retired high school wrestling coach who provides...,A hardworking mathematics major who is determined ...,A renewable energy entrepreneur who collaborates w...,A customs broker specializing in streamlining impo...
user15,random,23,1,0.01,23,0.68,23,1.0,5.235138998405485,True,,2.108849092646533,1.6456939471867302,1.620607189367852,1.4296392832927156,1.4105918721325397,a parent who stammers during public speaking,An intern trying to adapt to the new work environm...,A fresh-faced user who is eager to learn from the ...,"A former star of the film producer's movies, remin...",A nostalgic and enthusiastic metal fan who used to...
user15,random,194,1,0.01,194,0.68,193,0.9948453608247423,5.277783137387295,True,,1.1988731043711753,0.8143604855998771,0.8099462519657642,0.7845052384245738,0.7728055496280073,A patient and knowledgeable programmer,a big fan of the Fate/Grand Order game,"An interested layperson with no legal background, ...",A filmmaker who occasionally collaborates with the...,A passionate reader who curates a special section ...
