m,R2,Spearman_rho,MAE,TopK@200
1,0.2956488370895386,0.526026528267422,0.18038867,0.279
2,0.46197186708450316,0.677458236023501,0.15495452,0.3915
3,0.5122007012367249,0.7117189732024001,0.1471344,0.4185
4,0.5390493452548981,0.7286317732252523,0.1434161,0.437
5,0.5733159244060516,0.7505558932700747,0.13765445,0.4670000000000001
6,0.5801189601421356,0.7502246343118071,0.13754125,0.47400000000000003
7,0.6396679937839508,0.7925634742786791,0.12680855,0.516
8,0.6366884469985962,0.7898196850001499,0.12750451,0.514
9,0.6199969470500946,0.7818870876130124,0.12952499,0.49800000000000005
10,0.6367987215518951,0.7911837409960065,0.12697683,0.5145000000000001
11,0.6636133551597595,0.806142308461976,0.12282058,0.536
12,0.6669330656528473,0.806531431259045,0.12237568,0.5439999999999999
13,0.6495520174503326,0.796599796432396,0.12499927,0.5335
14,0.6632804632186889,0.8053924950878333,0.12268309,0.535
15,0.6612836241722106,0.8057618204329193,0.122498356,0.5349999999999999
16,0.6835605680942536,0.8165486534534677,0.11944462,0.5495
17,0.6772113740444183,0.8149557533595191,0.11999792,0.539
18,0.6888309359550476,0.8183871162880891,0.11852767,0.5589999999999999
19,0.6972258925437927,0.8254987018554077,0.11664353,0.569
20,0.6900937139987946,0.8209983057395466,0.11817025,0.5609999999999999
21,0.6821968793869019,0.814950069210863,0.11951598,0.5595
22,0.7132474720478058,0.8350980893338912,0.113400795,0.5664999999999999
23,0.7123558402061463,0.832774988657053,0.114127435,0.5715
24,0.7042405784130097,0.8287323248451252,0.11558894,0.5695
25,0.7102831602096558,0.831520582804868,0.114493586,0.5725
26,0.7128560602664947,0.8335337585060028,0.1140493,0.5569999999999999
27,0.7231006741523742,0.8398946655760684,0.11232861,0.5814999999999999
28,0.7237286031246185,0.8418008071368389,0.11128454,0.5820000000000001
29,0.7298632979393005,0.8426795230702782,0.11104735,0.5919999999999999
30,0.7288756966590881,0.8423876341601005,0.11093485,0.5844999999999999
31,0.7343455672264099,0.8470225152444115,0.10954942,0.5915
32,0.742751008272171,0.8493208752771941,0.10861852,0.597
33,0.7445107519626617,0.8506390680298495,0.10823469,0.5980000000000001
34,0.740695196390152,0.8503800069695778,0.10845731,0.5834999999999999
35,0.7548262059688569,0.8532426669381208,0.10666281,0.604
36,0.7520653545856476,0.8536943144298496,0.107244015,0.5934999999999999
37,0.7517792999744415,0.8551926206266774,0.10671009,0.604
38,0.7522033214569092,0.8539720985970238,0.10691533,0.6094999999999999
39,0.7642462909221649,0.8609837988359486,0.104473576,0.6000000000000001
40,0.7452383518218995,0.8512544122753466,0.10804637,0.5905
41,0.7463620245456696,0.8518659971364902,0.107979916,0.5999999999999999
42,0.7639697074890137,0.8621840548979257,0.10412262,0.612
43,0.7639122247695923,0.8615705566197098,0.1044028,0.604
44,0.7634565889835357,0.8613444475756952,0.10454631,0.607
45,0.7677115082740784,0.8640025809013082,0.10354421,0.6049999999999999
46,0.7572721838951111,0.8564213164284512,0.105931684,0.6145
47,0.7764628469944,0.8664527247479684,0.10210176,0.61
48,0.7637439250946045,0.8620423646535599,0.10416561,0.617
49,0.763187712430954,0.861643065426079,0.10416069,0.613
50,0.7789142966270447,0.870886858670884,0.101061895,0.6144999999999999
51,0.768192857503891,0.8622508943825642,0.10357106,0.6119999999999999
52,0.7737010180950165,0.8660472747937428,0.102491304,0.624
53,0.7716452836990356,0.8639236101450354,0.10310827,0.619
54,0.7715831995010376,0.8650204875347974,0.10315148,0.616
55,0.7731427311897278,0.8650003527638681,0.10277019,0.6144999999999999
56,0.7767928540706635,0.8692840682644901,0.1013873,0.623
57,0.7818713068962098,0.8710471009324549,0.10057749,0.6205
58,0.7805363059043884,0.8701974342601833,0.10095854,0.618
59,0.778932911157608,0.868674555772402,0.101646066,0.6175
60,0.7850137114524841,0.8729956024585397,0.09991558,0.631
61,0.7922073304653168,0.8760455510795916,0.098685876,0.6315
62,0.7877452373504639,0.8746489984919205,0.099287644,0.6345
63,0.7774473249912262,0.8677855270286645,0.10174451,0.615
64,0.7884527206420898,0.8736729415000044,0.099463716,0.6289999999999999
65,0.7913361489772797,0.8762547636209688,0.09854448,0.6355000000000001
66,0.7920768201351166,0.8761147896513647,0.09882261,0.632
67,0.7994072616100312,0.8812706065290259,0.09672958,0.6385
68,0.7967325448989868,0.878608773154499,0.09771173,0.635
69,0.7955589830875397,0.8789302059461225,0.09742716,0.6285000000000001
70,0.8018843233585358,0.8829067045190119,0.09608392,0.6380000000000001
71,0.7995888531208039,0.8803957214099242,0.09683988,0.629
72,0.7988899111747741,0.879881201392623,0.09737559,0.633
73,0.7986503422260285,0.879515166461896,0.09750526,0.6365000000000001
74,0.8049621403217315,0.8839136152287516,0.09570213,0.64
75,0.7960087478160858,0.8778019498241301,0.097956106,0.624
76,0.8053131401538849,0.8831721565463331,0.09583815,0.637
77,0.8021609783172607,0.8817935858345962,0.09647504,0.6385000000000001
78,0.8052234768867492,0.8842019498799989,0.095538646,0.6410000000000001
79,0.8049709737300873,0.8838211804025379,0.09559585,0.6425000000000001
80,0.8120605647563934,0.885651653224113,0.09440495,0.648
81,0.7980556786060333,0.8810809866588147,0.096819654,0.6395
82,0.805872768163681,0.883052774249343,0.09584069,0.6445000000000001
83,0.811039263010025,0.8872585704151812,0.094272606,0.6485000000000001
84,0.811825942993164,0.8864689302645923,0.094515905,0.6415
85,0.8089087069034576,0.8845317230489794,0.09485315,0.645
86,0.8156311273574829,0.8892399818021275,0.09318185,0.6575
87,0.8114102602005004,0.8860746864380966,0.09467556,0.642
88,0.8088677048683166,0.8854128486238221,0.09487557,0.6405000000000001
89,0.814078688621521,0.8876343001748301,0.09388449,0.6439999999999999
90,0.8171846210956574,0.890233037155047,0.092834406,0.6439999999999999
91,0.8106415033340454,0.8859057015126591,0.09457711,0.6409999999999999
92,0.8168027997016907,0.8905328173856676,0.09294607,0.6445000000000001
93,0.8195796191692353,0.8921432775881332,0.09238468,0.655
94,0.8146870255470275,0.8876668305547908,0.093845464,0.6519999999999999
95,0.8188356041908265,0.8908995519681634,0.09258991,0.6499999999999999
96,0.8237184286117554,0.8937614504741221,0.09138457,0.6515
97,0.8204188406467438,0.8916373273874288,0.0919662,0.6445000000000001
98,0.8196961522102356,0.8907316148974355,0.09271233,0.6565000000000001
99,0.8246103763580322,0.8941183923913547,0.09121145,0.653
100,0.8241077482700347,0.8927619685494795,0.091478206,0.6565000000000001
101,0.82334104180336,0.8926383569881915,0.091508284,0.6605000000000001
102,0.8234050214290619,0.8930036649424569,0.09160838,0.6615
103,0.8246057868003845,0.8934122062477263,0.09115784,0.6605000000000001
104,0.8194796979427338,0.8906133809947587,0.09243548,0.645
105,0.8293458580970764,0.896969142548196,0.089977525,0.651
106,0.8327119827270508,0.8986929968778885,0.088921726,0.6585000000000001
107,0.8236935615539551,0.8922354874596126,0.09167971,0.654
108,0.8247057735919953,0.8936347487518763,0.09117158,0.665
109,0.8253756284713745,0.894622977580495,0.09094985,0.6605000000000001
110,0.827301663160324,0.8955338077921319,0.0904867,0.6545
111,0.8317751228809357,0.8973186021079489,0.089598976,0.6585
112,0.8273361206054688,0.8959958184643104,0.09043516,0.6535
113,0.8269466042518616,0.8950764435325509,0.09073179,0.651
114,0.8292293787002564,0.8956798357362479,0.09018403,0.6625
115,0.830190223455429,0.897411804992492,0.08967904,0.659
116,0.8337574958801269,0.8995773382660529,0.08881086,0.6679999999999999
117,0.8304882168769836,0.896233137754497,0.08989003,0.6625000000000001
118,0.8330726563930512,0.8978970892373541,0.08930647,0.6665
119,0.8339908599853516,0.8995683680442816,0.08893942,0.6570000000000001
120,0.8326931357383728,0.8988156300310628,0.089204535,0.669
121,0.8310386598110199,0.8968550265585173,0.08975981,0.6705000000000001
122,0.8381301522254944,0.9016140189171633,0.08769622,0.6639999999999999
123,0.832427716255188,0.8970530369732822,0.08935863,0.6725
124,0.8341597497463227,0.8986310398302821,0.0888142,0.663
125,0.8388162016868591,0.9018924529827921,0.087745346,0.6605
